11.8	14.2	1.04	17.1
6.26	13.4	1.46	19
1.04	22.9	1.11	100
11.5	74.9	0.877	37
8.34	19.2	0.798	64.6
1.56	25.4	1.022	154
1.56	23	0.988	21
1.04	210	1.05	27.2
1.56	292	0.691	57.7
2.08	251	0.609	14.2
1.04	459	0.899	17.2
2.08	721	0.621	16.1
1.04	452	0.462	17.9
1.04	840	0.703	14.9
0.521	20.7	0.68	14.2
0.521	21.2	0.549	18.5
1.04	16.4	0.856	22
0.521	16.5	0.793	19.3
0.521	17.5	4.24	18.5
0.521	14.1	1.18	21.6
18.6	14	1.61	15.9
10.9	18.8	0.16	20.1
16.7	14.4	0.916	166
12.5	17.8	0.996	183
15.1	18.9	0.945	90.8
11.5	13	0.911	260
16.2	24.7	1.04	221
12.5	22.6	1.01	197
14.1	1185	0.969	313
14.6	912	0.607	286
11	31.7	0.24	16.6
11.5	24.1	0.457	19.5
8.32	26.9	6.13	18.2
11.5	38.5	5.91	18.7
10.1	23	5.84	158
12	19	5.91	342
9.9	23.2	3.89	310
10.4	19.6	2.76	354
10.9	21	1.11	243
12	18.9	1.03	53.1
1.04	272	0.706	360
2.61	406	0.802	386
2.61	126	0.178	315
4.69	257	0.235	286
1.56	86.9	0.0792	381
2.08	328	0.056	349
1.56	274	0.542	11.6
	64.9		
