2021-08-16 10:57:02,015 84131    1629125821	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.count     	9
2021-08-16 10:57:02,021 84137    1629125821	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.mean_rate 	1.499721571666153E-7
2021-08-16 10:57:02,022 84138    1629125821	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.count    	9
2021-08-16 10:57:02,028 84144    1629125821	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.mean_rate	1.4997262404969638E-7
2021-08-16 10:57:02,039 84155    1629125821	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.count     	40
2021-08-16 10:57:02,044 84160    1629125821	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_inRate.mean_rate 	6.665675790186212E-7
2021-08-16 10:57:02,045 84161    1629125821	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.count    	0
2021-08-16 10:57:02,048 84164    1629125821	pi3-r1-m2-l1-p2.pi3lan.local:6700	  6:v4         	tuple_outRate.mean_rate	0.0
2021-08-16 10:57:02,157 84273    1629125822	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:35832=9}, messageBytes={7-3=711}}
2021-08-16 10:57:02,161 84277    1629125822	pi3-r1-m2-l5-p1.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=42850, sys-ms=4890}
2021-08-16 10:57:02,247 84363    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.count     	107
2021-08-16 10:57:02,252 84368    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_inRate.mean_rate 	1.7830791419096884E-6
2021-08-16 10:57:02,252 84368    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.count    	107
2021-08-16 10:57:02,257 84373    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	  9:v7         	tuple_outRate.mean_rate	1.7830846497862162E-6
2021-08-16 10:57:02,261 84377    1629125822	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fe3b:89c9:34584=9, /fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:38494=32}, messageBytes={9-6=10029, 3-6=1755}}
2021-08-16 10:57:02,263 84379    1629125822	pi3-r1-m2-l1-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=49260, sys-ms=6730}
2021-08-16 10:57:02,461 84577    1629125822	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.count     	75
2021-08-16 10:57:02,465 84581    1629125822	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_inRate.mean_rate 	1.2498117735559572E-6
2021-08-16 10:57:02,466 84582    1629125822	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.count    	75
2021-08-16 10:57:02,471 84587    1629125822	pi3-r1-m2-l1-p4.pi3lan.local:6700	  2:v0         	tuple_outRate.mean_rate	1.2498145906303872E-6
2021-08-16 10:57:02,494 84610    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:40708=8, /fd65:aeb8:64e2:a7c:ba27:ebff:fe68:e899:55262=99}, messageBytes={5-9=632, 8-9=19832}}
2021-08-16 10:57:02,497 84613    1629125822	pi3-r1-m2-l2-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=44360, sys-ms=5030}
